,Region_annotation
601,DCIS2
603,DCIS2
608,DCIS2
610,DCIS2
612,DCIS2
614,DCIS2
617,DCIS2
620,DCIS2
623,DCIS2
624,DCIS2
626,DCIS2
629,DCIS2
630,DCIS2
631,Unassigned
632,Unassigned
635,Unassigned
636,Unassigned
638,Unassigned
640,Unassigned
641,Unassigned
642,Unassigned
643,Unassigned
647,Unassigned
649,Unassigned
650,Unassigned
651,Unassigned
654,Unassigned
655,Unassigned
656,Unassigned
657,Unassigned
661,Unassigned
662,Unassigned
665,Unassigned
668,Unassigned
669,Unassigned
670,Unassigned
674,Unassigned
675,Unassigned
676,Unassigned
677,Unassigned
678,Unassigned
679,Unassigned
680,Unassigned
682,Unassigned
683,Unassigned
684,Unassigned
685,Unassigned
686,Unassigned
690,Unassigned
691,Unassigned
693,Unassigned
694,Unassigned
695,Unassigned
696,Unassigned
697,Unassigned
698,Unassigned
699,Unassigned
700,Invasive
702,Unassigned
703,Unassigned
706,Unassigned
707,Unassigned
709,Unassigned
710,Unassigned
711,Unassigned
713,Unassigned
715,Unassigned
716,Unassigned
717,Unassigned
718,Unassigned
720,Unassigned
721,Unassigned
722,Unassigned
723,Unassigned
724,Unassigned
725,Unassigned
726,Unassigned
727,Unassigned
728,Unassigned
730,Unassigned
732,Unassigned
733,Unassigned
734,Unassigned
735,Unassigned
736,Unassigned
738,Unassigned
739,Unassigned
740,Unassigned
741,Unassigned
744,Unassigned
745,Unassigned
746,Unassigned
747,Unassigned
748,Unassigned
749,Unassigned
752,Unassigned
754,Unassigned
756,Unassigned
757,Unassigned
758,Unassigned
759,Unassigned
760,Unassigned
761,Unassigned
762,Unassigned
763,Unassigned
765,Unassigned
766,Unassigned
767,Unassigned
768,Unassigned
769,Unassigned
770,Unassigned
771,Unassigned
772,Unassigned
773,Unassigned
774,Unassigned
775,Unassigned
776,Unassigned
777,Unassigned
778,Unassigned
779,Unassigned
780,Unassigned
781,Unassigned
782,Unassigned
783,Unassigned
785,Unassigned
786,Unassigned
787,Unassigned
788,Unassigned
789,Unassigned
791,Unassigned
792,Unassigned
793,Unassigned
795,Unassigned
799,Unassigned
802,Unassigned
803,Invasive
805,Unassigned
806,Unassigned
807,Unassigned
808,Unassigned
809,Unassigned
811,Unassigned
813,Unassigned
814,Unassigned
815,Unassigned
817,Unassigned
819,Unassigned
821,Unassigned
822,Unassigned
823,Unassigned
824,Unassigned
825,Unassigned
827,Unassigned
829,Unassigned
831,Unassigned
832,Unassigned
835,Unassigned
836,Unassigned
837,Unassigned
838,Unassigned
839,Invasive
840,Unassigned
841,Unassigned
843,Invasive
844,Invasive
845,Invasive
847,Unassigned
848,Invasive
849,Invasive
850,Invasive
851,Invasive
852,Invasive
855,Invasive
856,Invasive
857,Invasive
858,Invasive
860,Unassigned
861,Unassigned
862,Unassigned
863,Unassigned
864,Unassigned
865,Unassigned
867,Unassigned
868,Unassigned
869,Unassigned
870,Unassigned
871,Invasive
872,Invasive
873,Unassigned
876,Invasive
878,Invasive
879,Invasive
880,Invasive
881,Invasive
882,DCIS2
883,DCIS2
884,DCIS2
885,Unassigned
886,Unassigned
888,Unassigned
889,Unassigned
891,Unassigned
892,Unassigned
893,Unassigned
894,Unassigned
895,Unassigned
896,Unassigned
897,Unassigned
899,Unassigned
900,Unassigned
901,Unassigned
902,Unassigned
904,Unassigned
906,Unassigned
910,Unassigned
914,Unassigned
918,Unassigned
920,Unassigned
921,Unassigned
926,DCIS2
927,DCIS2
928,DCIS2
929,DCIS2
930,DCIS2
931,DCIS2
932,DCIS2
933,DCIS2
934,DCIS2
935,DCIS2
936,DCIS2
937,DCIS2
938,DCIS2
939,DCIS2
940,DCIS2
941,DCIS2
943,DCIS2
944,DCIS2
946,DCIS2
947,Unassigned
948,Unassigned
949,Unassigned
950,Unassigned
952,Unassigned
953,Unassigned
954,Unassigned
955,Unassigned
956,Unassigned
959,Unassigned
960,Unassigned
961,Unassigned
963,Unassigned
964,Unassigned
965,Unassigned
967,Unassigned
969,Unassigned
970,Unassigned
971,Unassigned
972,Unassigned
974,Unassigned
975,Unassigned
976,Unassigned
977,Unassigned
978,Unassigned
980,Unassigned
981,Unassigned
982,Unassigned
983,Unassigned
984,Unassigned
985,Unassigned
986,Unassigned
988,Unassigned
989,Unassigned
991,Unassigned
993,Unassigned
994,Unassigned
996,Unassigned
997,Unassigned
998,Unassigned
999,Unassigned
1000,Unassigned
1001,Unassigned
1002,Unassigned
1003,Unassigned
1004,Unassigned
1005,Unassigned
1006,Unassigned
1007,Unassigned
1008,Unassigned
1009,Unassigned
1010,Unassigned
1011,Unassigned
1012,Unassigned
1013,Unassigned
1014,Unassigned
1015,Unassigned
1016,Unassigned
1017,Unassigned
1018,Unassigned
1019,Unassigned
1020,Unassigned
1025,Unassigned
1026,Unassigned
1028,Unassigned
1030,Unassigned
1032,Unassigned
1034,Unassigned
1038,Unassigned
1039,Unassigned
1040,Unassigned
1041,Unassigned
1043,Unassigned
1052,Unassigned
1079,Unassigned
1080,Unassigned
1082,Unassigned
1084,Unassigned
1087,Unassigned
1089,Unassigned
1090,Unassigned
1092,Unassigned
1093,Unassigned
1094,Unassigned
1095,DCIS2
1096,DCIS2
1097,DCIS2
1098,DCIS2
1099,DCIS2
1100,DCIS2
1101,DCIS2
1102,DCIS2
1103,DCIS2
1105,DCIS2
1106,DCIS2
1107,DCIS2
1108,DCIS2
1109,DCIS2
1110,DCIS2
1111,DCIS2
1112,DCIS2
1113,DCIS2
1114,DCIS2
1115,DCIS2
1116,DCIS2
1117,DCIS2
1118,DCIS2
1119,DCIS2
1120,DCIS2
1122,DCIS2
1123,DCIS2
1124,DCIS2
1125,DCIS2
1126,DCIS2
1127,DCIS2
1128,DCIS2
1129,DCIS2
1130,DCIS2
1131,DCIS2
1133,DCIS2
1134,DCIS2
1135,DCIS2
1136,DCIS2
1137,DCIS2
1138,DCIS2
1139,DCIS2
1141,DCIS2
1142,DCIS2
1143,DCIS2
1144,DCIS2
1145,DCIS2
1146,DCIS2
1147,DCIS2
1148,DCIS2
1149,DCIS2
1150,DCIS2
1151,DCIS2
1152,DCIS2
1153,DCIS2
1154,DCIS2
1155,DCIS2
1156,DCIS2
1157,DCIS2
1158,DCIS2
1159,DCIS2
1160,DCIS2
1161,DCIS2
1164,DCIS2
1165,DCIS2
1166,DCIS2
1167,DCIS2
1168,DCIS2
1169,DCIS2
1170,DCIS2
1171,DCIS2
1172,DCIS2
1173,DCIS2
1174,DCIS2
1175,DCIS2
1177,DCIS2
1179,DCIS2
1180,Invasive
1181,Invasive
1182,Invasive
1183,Invasive
1184,Invasive
1185,Invasive
1186,Invasive
1187,Invasive
1188,Invasive
1189,Invasive
1190,Invasive
1191,Invasive
1192,Invasive
1196,Invasive
1197,Invasive
1198,Invasive
1200,Invasive
1202,Invasive
1203,Invasive
1204,Invasive
1205,Invasive
1206,Invasive
1207,Invasive
1208,Invasive
1209,Invasive
1210,Invasive
1213,Invasive
1214,Invasive
1215,Invasive
1217,Invasive
1219,Invasive
1220,Invasive
1221,Invasive
1222,Invasive
1223,Invasive
1224,Invasive
1225,Invasive
1226,Invasive
1227,Invasive
1228,Invasive
1229,Invasive
1231,Invasive
1232,Invasive
1233,Invasive
1234,Invasive
1235,Invasive
1236,Invasive
1237,Invasive
1238,Invasive
1239,Invasive
1240,Invasive
1241,Invasive
1242,Invasive
1243,Invasive
1244,Invasive
1245,Invasive
1246,Invasive
1247,Invasive
1248,Invasive
1249,Invasive
1250,Invasive
1251,Invasive
1252,Invasive
1253,Invasive
1254,Invasive
1255,Invasive
1256,Invasive
1258,Invasive
1259,Invasive
1260,Invasive
1261,Invasive
1262,Invasive
1263,Invasive
1264,Invasive
1265,Invasive
1266,Invasive
1267,Invasive
1268,Invasive
1269,Invasive
1270,Invasive
1271,Invasive
1272,Invasive
1273,Invasive
1274,Invasive
1275,Invasive
1276,Invasive
1277,Invasive
1278,Invasive
1279,Invasive
1280,Invasive
1281,Invasive
1282,Invasive
1283,Invasive
1284,Invasive
1285,Invasive
1286,Invasive
1287,Invasive
1288,Invasive
1289,Invasive
1290,Invasive
1291,Invasive
1292,Invasive
1293,Invasive
1294,Invasive
1295,Invasive
1296,Invasive
1297,Invasive
1298,Invasive
1299,Invasive
1300,Invasive
1301,Invasive
1302,Invasive
